Days Gone - (PS4),https://m.media-amazon.com/images/I/51l-2eWB-yL._AC_UL436_.jpg,http://amazon.in/Sony-GVS09Z0-Days-Gone-PS4/dp/B01GVS09Z0/ref=sr_1_44?keywords=ps4&qid=1564152945&s=gateway&sr=8-44,4.2 out of 5 stars,110,"2,675",India,,"['15', '10']",2
Ashes Cricket (PS4),https://m.media-amazon.com/images/I/812CRjcdsCL._AC_UL436_.jpg,http://amazon.in/Big-Ant-Studios-Ashes-Cricket/dp/B076X9H7ZQ/ref=sr_1_45?keywords=ps4&qid=1564152945&s=gateway&sr=8-45,3.8 out of 5 stars,319,"1,790",India,,"['100', '52']",2
Resident Evil 2 - Steelbook Edition (PS4),https://m.media-amazon.com/images/I/71VduIRSX5L._AC_UL436_.jpg,http://amazon.in/Resident-Evil-2-Steelbook-PS4/dp/B07M7F88ZZ/ref=sr_1_46?keywords=ps4&qid=1564152945&s=gateway&sr=8-46,4.5 out of 5 stars,12,"2,794",India,,"['887', '300']",2
Devil May Cry 5 (PS4),https://m.media-amazon.com/images/I/717GIGisHNL._AC_UL436_.jpg,http://amazon.in/Devil-May-Cry-5-PS4/dp/B07DRSF215/ref=sr_1_48?keywords=ps4&qid=1564152945&s=gateway&sr=8-48,4.3 out of 5 stars,28,"2,890",India,,"['126', '65']",2
PES 2019 (PS4),https://m.media-amazon.com/images/I/81glYp2L2GL._AC_UL436_.jpg,http://amazon.in/Konami-PES-2019-PS4/dp/B07DPHZ69G/ref=sr_1_49?keywords=ps4&qid=1564152945&s=gateway&sr=8-49,4.2 out of 5 stars,43,"1,594",India,,"['523', '195']",2
Far Cry 4 (PS4),https://m.media-amazon.com/images/I/81Y37RvvNWL._AC_UL436_.jpg,http://amazon.in/UBI-Soft-PS4-Far-Cry/dp/B00L8XUB1G/ref=sr_1_50?keywords=ps4&qid=1564152945&s=gateway&sr=8-50,4.3 out of 5 stars,541,989,India,,"['144', '72']",2
Watch Dogs 2 (PS4),https://m.media-amazon.com/images/I/812E6hdG+VL._AC_UL436_.jpg,http://amazon.in/UBI-Soft-Watch-Dogs-PS4/dp/B01H3PRC0U/ref=sr_1_51?keywords=ps4&qid=1564152963&s=gateway&sr=8-51,4.2 out of 5 stars,281,"1,094",India,,"['26', '17']",2
Microware PS4 Controller Protective Silicone (Black and Red),https://m.media-amazon.com/images/I/415FRZd2PeL._AC_UL436_.jpg,http://amazon.in/Microware-Controller-Protective-Silicone-Black/dp/B0719DQ9GF/ref=sr_1_52?keywords=ps4&qid=1564152963&s=gateway&sr=8-52,1.0 out of 5 stars,3,399,India,,"['2', '64']",2
Horizon: Zero Dawn - Complete Edition (PS4),https://m.media-amazon.com/images/I/91QVzHJOWuL._AC_UL436_.jpg,http://amazon.in/Horizon-Zero-Dawn-Complete-PS4/dp/B07D2NY7RW/ref=sr_1_53?keywords=ps4&qid=1564152963&s=gateway&sr=8-53,4.6 out of 5 stars,53,"1,429",India,,"['343', '143']",2
Minecraft (PS4),https://m.media-amazon.com/images/I/81EXJRmpPfL._AC_UL436_.jpg,http://amazon.in/Mojang-9439417-Minecraft-PS4/dp/B00K2S5PUK/ref=sr_1_54?keywords=ps4&qid=1564152963&s=gateway&sr=8-54,4.1 out of 5 stars,54,"1,640",India,,"['16', '11']",2
Red Dead Redemption - 2 (PS4),https://m.media-amazon.com/images/I/51xDl3CQB1L._AC_UL436_.jpg,http://amazon.in/Red-Dead-Redemption-2-PS4/dp/B07BFGGNT9/ref=sr_1_55?keywords=ps4&qid=1564152963&s=gateway&sr=8-55,4.6 out of 5 stars,430,"2,815",India,,"['5', '4']",2
Rise of the Tomb Raider - 20 Year Celebration (PS4),https://m.media-amazon.com/images/I/81okiQ6E6pL._AC_UL436_.jpg,http://amazon.in/Rise-Tomb-Raider-Year-Celebration/dp/B01MDKLX4M/ref=sr_1_56?keywords=ps4&qid=1564152963&s=gateway&sr=8-56,4.7 out of 5 stars,133,965,India,,"['50', '25']",2
