Product Name,Image URL,Product URL,Ratings,No: of Responses,price,country
Spider-Man PS4 Spider Logo Vinyl Decal,https://i.etsystatic.com/8949832/d/il/e65f2e/1837147822/il_340x270.1837147822_pxl4.jpg?version=0,https://www.etsy.com/in-en/listing/634651291/spider-man-ps4-spider-logo-vinyl-decal?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-23&organic_search_click=1&col=1,4.9375,774,3,United States
PS4 Riser Feet | Improved System Cooling | 3D Printed,https://i.etsystatic.com/18598944/d/il/e3f13c/1903684171/il_340x270.1903684171_954v.jpg?version=0,https://www.etsy.com/in-en/listing/701263889/ps4-riser-feet-improved-system-cooling?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-24&organic_search_click=1&col=1,5,6,9.99,United States
Sony Playstation Dualshock PS4 Wireless Controller Custom Soft Touch Faded Blue,https://i.etsystatic.com/13083580/d/il/4c87ba/1361925644/il_340x270.1361925644_iuld.jpg?version=0,https://www.etsy.com/in-en/listing/523423724/sony-playstation-dualshock-ps4-wireless?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-25&organic_search_click=1,4.9383,258,69.99,United States
Sony Playstation Dualshock PS4 Wireless Controller Custom Soft Touch Faded Purple,https://i.etsystatic.com/13083580/d/il/6f0234/1361926294/il_340x270.1361926294_b520.jpg?version=0,https://www.etsy.com/in-en/listing/537221285/sony-playstation-dualshock-ps4-wireless?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-26&organic_search_click=1,4.9405,258,69.99,United States
ps4 skin nike ps4 red skin ps4 skin sport ps4 skin style PS4 Pro Sticker PS4 Slim Controller Skin PS4 Pro Dualshock 4 console decal PS4 Fat,https://i.etsystatic.com/19936532/d/il/be5434/1886835524/il_340x270.1886835524_16k6.jpg?version=0,https://www.etsy.com/in-en/listing/694659350/ps4-skin-nike-ps4-red-skin-ps4-skin?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-27&organic_search_click=1,4.4545,11,5.55,United States
New Sony Playstation Dualshock PS4 Wireless Controller Custom Overwatch D.Va Edition,https://i.etsystatic.com/13083580/d/il/5fa633/1358984752/il_340x270.1358984752_o0z8.jpg?version=0,https://www.etsy.com/in-en/listing/537250647/new-sony-playstation-dualshock-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-28&organic_search_click=1,4.9383,258,74.99,United States
edible xbox ps3 ps4 boys birthday cake topper* celebration* 13th 16th 18th 21st 30th ect**,https://i.etsystatic.com/8980634/d/il/8b225b/608918713/il_340x270.608918713_7fhv.jpg?version=0,https://www.etsy.com/in-en/listing/191360075/edible-xbox-ps3-ps4-boys-birthday-cake?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-29&organic_search_click=1&cns=1,4.8333,245,19.41,United States
Funny Wedding Cake Topper Simple PS4 Gamer Gaming Junkie Player Custom Personalized Awesome Charming Rehearsal Groom's Play,https://i.etsystatic.com/11779332/c/1124/893/0/24/il/8a55e4/1188043393/il_340x270.1188043393_8uvc.jpg,https://www.etsy.com/in-en/listing/497722732/funny-wedding-cake-topper-simple-ps4?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-30&organic_search_click=1&cns=1,4.9857,495,59,United States
PS4 / Playstation 4 Controller Wall Mount / Holder,https://i.etsystatic.com/14590014/d/il/0e82a6/1563994929/il_340x270.1563994929_f6m0.jpg?version=0,https://www.etsy.com/in-en/listing/506727774/ps4-playstation-4-controller-wall-mount?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-31&organic_search_click=1,4.9351,330,12.93,United States
Custom Jason Voorhees (Friday the 13th) PS4 Controller,https://i.etsystatic.com/17923767/d/il/4ca685/1584857192/il_340x270.1584857192_r0kp.jpg?version=0,https://www.etsy.com/in-en/listing/635210761/custom-jason-voorhees-friday-the-13th?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=ps4&ref=sr_gallery-2-32&organic_search_click=1&sca=1,5,2,90,United States
